,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
2823,Nike Air Max 90 By You,Custom Men's Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-air-max-90-shoes-by-you-10001670/4891958816,,150,0,150
2824,Nike Air Max 90 By You,Custom Men's Shoes,FOOTWEAR,,Blue,https://www.nike.com/u/custom-air-max-90-shoes-by-you-10001670/6268934518,,150,0,150
2825,Nike Air Max 90 By You,Custom Men's Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-air-max-90-shoes-by-you-10001670/9209592767,,150,0,150
2826,Nike Air Max 90 By You,Custom Men's Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-air-max-90-shoes-by-you-10001670/9245031736,,150,0,150
2827,Nike Air Max 90 By You,Custom Men's Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-air-max-90-shoes-by-you-10001670/9652712766,,150,0,150
2828,Sabrina 2 By Sabrina,Custom Basketball Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-nike-sabrina-2-by-you-10001913/3101211593,,160,0,160
2829,Nike Mercurial Vapor 15 Elite By You,Custom Firm-Ground Soccer Cleats,FOOTWEAR,,White,https://www.nike.com/u/custom-mercurial-vapor-15-elite-shoes-by-you-10001668/3133602071,,280,0,280
2830,Nike Mercurial Vapor 15 Elite By You,Custom Firm-Ground Soccer Cleats,FOOTWEAR,,Pink,https://www.nike.com/u/custom-mercurial-vapor-15-elite-shoes-by-you-10001668/4135207467,,280,0,280
2831,Nike Mercurial Vapor 15 Elite By You,Custom Firm-Ground Soccer Cleats,FOOTWEAR,,Black,https://www.nike.com/u/custom-mercurial-vapor-15-elite-shoes-by-you-10001668/4574723236,,280,0,280
2832,Nike Mercurial Vapor 15 Elite By You,Custom Firm-Ground Soccer Cleats,FOOTWEAR,,Grey,https://www.nike.com/u/custom-mercurial-vapor-15-elite-shoes-by-you-10001668/5042664981,,280,0,280
2833,Nike Mercurial Vapor 15 Elite By You,Custom Firm-Ground Soccer Cleats,FOOTWEAR,,Green,https://www.nike.com/u/custom-mercurial-vapor-15-elite-shoes-by-you-10001668/5564712600,,280,0,280
